safari/604.1 safari/602.1 safari/604.3.5 safari/604.4.7 safari/601.1 safari/603.3.8 safari/604.1.38 safari/537.86.7 safari/604.5.6 safari/537 safari/601.7.7 safari/603.2.4 safari/600.1.4 safari/603.1.30 safari/602.4.8 safari/603.2.5 safari/602.3.12 safari/602.1.50 safari/602.2.14 safari/601.6.17 safari/537.36 safari/537.35+ safari/600.8.9 safari/601.7.8 safari/601.5.17 safari/601.4.4 safari/534.30 safari/601.3.9 safari/601.2.7 safari/604.5.2 safari/600.7.12 safari/600.6.3 safari/604.4.6 safari/601.1.46 safari/601.1.56 safari/604.4.5 safari/600.1.25 safari/534.30; safari/7046a194a safari/605.1.15 safari/537.86.6 safari/604.5.5 safari/600.3.18 safari/604.5.3 safari/600.5.17 safari/604.3.4 safari/600.4.10 safari/537.86.4 safari/600.2.5 safari/537.85.16 safari/537.86.5 safari/602.1.1 safari/8536.25 safari/538.1 safari/537.16 safari/9537.53 safari/600.4.8 safari/604.3.1 safari/7534.48.3 safari safari/537.86.2 safari/6533.18.5 safari/537.21 safari/537.77.4 safari/537.78.2 safari/537.85.17 safari/537.86.3 safari/602.4.2 safari/602.4.6 safari/605.1 safari/525.20.1 safari/531.21.10 safari/533.4 safari/537.86.1 safari/600.1.4) safari/603.1.13 safari/604.5.100 safari/605.1.12 safari/10603.3.8 safari/13604.3.5 safari/535.19 safari/600.4.5 safari/604.1.31 safari/604.4.7.1.3 safari/604.5.1 safari/605.1.13 safari/999.9 
2017-12-3 3836 645 595 12 228 95 13 29 0 22 11 9 19 16 16 9 6 2 4 4 9 2 3 2 1 3 1 0 3 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-4 2865 502 625 6 174 86 40 34 0 18 24 17 10 10 9 6 8 2 5 1 6 2 1 3 2 5 1 0 0 0 0 1 0 1 1 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-5 4121 614 722 10 255 105 23 38 0 26 25 15 9 16 2 8 10 0 8 2 3 4 3 2 2 3 2 3 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-6 3455 528 609 16 226 75 26 33 0 18 15 18 7 11 3 6 5 5 4 3 4 7 6 5 5 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-7 2188 315 315 53 120 65 14 19 0 17 4 8 4 7 10 1 6 3 1 2 4 5 2 2 1 3 1 1 0 0 1 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-8 3517 571 383 172 216 59 18 31 0 26 9 12 7 6 6 4 3 3 2 3 9 3 2 1 0 1 1 1 1 0 0 2 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
2017-12-9 3849 591 319 184 226 72 22 26 0 22 9 8 21 7 4 10 5 4 2 2 6 4 2 2 2 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-10 3323 518 257 190 208 68 20 25 0 25 14 3 12 7 8 4 3 3 6 2 6 2 1 3 3 0 3 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
2017-12-11 3522 591 386 317 229 97 24 39 0 18 20 21 11 11 8 7 5 6 8 4 10 5 5 3 7 1 2 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-12 2384 340 226 199 127 51 11 15 0 11 10 5 10 8 2 6 8 1 2 2 2 2 1 3 2 3 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
