88f9a35438201f34381be6425fc61c58c31b5fc1++=>36632f75b903bca305bcd02a56840abd40442e13++ be170c6399fc45c991f409261c723fbbcadc6222++=>8f182b3b9afb58832515da1a210f933d8462f292++ bd554a7d5da9293cf3fed52d2052b2b948a14b77++=>198726984c90308dbd4306d3ef56e82fde2345bd++ 6989e28b170e64cc9b5558924ac9cc975e09ccd9++=>ad6bcb1b677df6a81d41328c7a94832a302837ff++ 36632f75b903bca305bcd02a56840abd40442e13++=>88f9a35438201f34381be6425fc61c58c31b5fc1++ 88f9a35438201f34381be6425fc61c58c31b5fc1++=>8f182b3b9afb58832515da1a210f933d8462f292++ bd554a7d5da9293cf3fed52d2052b2b948a14b77++=>6b2f630a93c06a1c7fdf31be5433b7f30e9fd9d2++ 2e02e768da96c8034d4d0a0e38d5921bd71540e3++=>b261a45b09d8764fe7d24ee3d4765f5d7708d020++ 946d8d375868fd2f5acaf2e56c9b8222d12e7e26++=>d34b694e17b527817870d13567134c96856dace0++ be170c6399fc45c991f409261c723fbbcadc6222++=>88f9a35438201f34381be6425fc61c58c31b5fc1++ Others 
2018-3-31 34.0 17.0 0.0 0.0 26.0 8.0 0.0 1.0 3.0 0.0 274.0 
2018-4-1 35.0 12.0 0.0 0.0 20.0 7.0 0.0 4.0 2.0 1.0 266.0 
2018-4-2 20.0 8.0 0.0 0.0 17.0 3.0 0.0 4.0 1.0 0.0 233.0 
2018-4-3 17.0 7.0 1.0 0.0 20.0 4.0 0.0 5.0 3.0 1.0 417.0 
2018-4-4 16.0 7.0 0.0 0.0 26.0 5.0 0.0 4.0 4.0 0.0 474.0 
2018-4-5 43.0 12.0 0.0 0.0 26.0 3.0 0.0 4.0 11.0 0.0 389.0 
2018-4-6 47.0 15.0 1.0 0.0 27.0 10.0 0.0 1.0 18.0 0.0 319.0 
2018-4-7 36.0 14.0 1.0 1.0 30.0 12.0 0.0 1.0 13.0 0.0 225.0 
2018-4-8 18.0 8.0 0.0 0.0 12.0 4.0 0.0 1.0 5.0 0.0 122.0 
2018-4-9 17.0 5.0 1.0 0.0 11.0 3.0 0.0 0.0 3.0 1.0 113.0 
2018-4-10 16.0 8.0 0.0 1.0 13.0 3.0 0.0 6.0 0.0 0.0 120.0 
2018-4-11 12.0 8.0 0.0 1.0 13.0 4.0 0.0 2.0 3.0 2.0 81.0 
2018-4-12 17.0 11.0 1.0 0.0 19.0 4.0 0.0 5.0 11.0 0.0 163.0 
2018-4-13 11.0 8.0 0.0 0.0 11.0 5.0 0.0 7.0 4.0 0.0 162.0 
2018-4-14 20.0 9.0 1.0 0.0 11.0 8.0 0.0 3.0 6.0 0.0 134.0 
2018-4-15 19.0 9.0 0.0 0.0 19.0 3.0 0.0 2.0 6.0 0.0 141.0 
2018-4-16 48.0 22.0 0.0 2.0 34.0 10.0 0.0 14.0 7.0 1.0 312.0 
2018-4-17 58.0 26.0 0.0 0.0 40.0 9.0 0.0 8.0 9.0 1.0 309.0 
2018-4-18 55.0 30.0 18.0 0.0 36.0 19.0 0.0 5.0 12.0 1.0 348.0 
2018-4-19 37.0 22.0 25.0 0.0 28.0 13.0 1.0 7.0 14.0 2.0 310.0 
2018-4-20 37.0 20.0 47.0 1.0 32.0 4.0 2.0 3.0 21.0 0.0 313.0 
2018-4-21 27.0 16.0 48.0 0.0 18.0 8.0 2.0 6.0 9.0 0.0 281.0 
2018-4-22 31.0 20.0 54.0 0.0 33.0 3.0 0.0 4.0 3.0 2.0 309.0 
2018-4-23 26.0 19.0 44.0 0.0 15.0 7.0 0.0 1.0 8.0 0.0 230.0 
2018-4-24 24.0 22.0 37.0 0.0 17.0 4.0 0.0 1.0 4.0 0.0 220.0 
2018-4-25 25.0 15.0 22.0 0.0 17.0 7.0 0.0 2.0 4.0 0.0 178.0 
2018-4-26 22.0 10.0 21.0 0.0 24.0 3.0 1.0 1.0 3.0 0.0 168.0 
2018-4-27 38.0 11.0 45.0 1.0 34.0 6.0 0.0 10.0 7.0 0.0 309.0 
2018-4-28 26.0 11.0 45.0 1.0 25.0 5.0 0.0 7.0 5.0 2.0 251.0 
2018-4-29 27.0 12.0 22.0 0.0 23.0 3.0 0.0 3.0 2.0 0.0 160.0 
2018-4-30 18.0 10.0 63.0 2.0 15.0 3.0 0.0 4.0 1.0 0.0 214.0 
2018-5-1 30.0 6.0 65.0 2.0 20.0 2.0 2.0 3.0 4.0 0.0 237.0 
2018-5-2 24.0 12.0 59.0 2.0 21.0 5.0 3.0 3.0 5.0 0.0 207.0 
2018-5-3 39.0 8.0 153.0 7.0 35.0 5.0 9.0 6.0 6.0 1.0 330.0 
2018-5-4 22.0 10.0 120.0 8.0 21.0 3.0 8.0 2.0 4.0 0.0 245.0 
2018-5-5 11.0 7.0 51.0 0.0 12.0 1.0 4.0 0.0 5.0 1.0 174.0 
2018-5-6 16.0 16.0 69.0 6.0 12.0 4.0 3.0 6.0 4.0 0.0 196.0 
2018-5-7 24.0 10.0 87.0 8.0 14.0 4.0 13.0 2.0 6.0 0.0 230.0 
2018-5-8 41.0 17.0 91.0 9.0 19.0 6.0 4.0 9.0 7.0 1.0 236.0 
2018-5-9 24.0 6.0 56.0 6.0 22.0 3.0 6.0 3.0 12.0 0.0 194.0 
2018-5-10 30.0 19.0 105.0 9.0 29.0 6.0 13.0 2.0 6.0 0.0 297.0 
2018-5-11 26.0 11.0 66.0 15.0 26.0 9.0 3.0 5.0 4.0 0.0 244.0 
2018-5-12 21.0 16.0 69.0 13.0 17.0 2.0 14.0 1.0 5.0 0.0 270.0 
2018-5-13 28.0 11.0 58.0 15.0 21.0 2.0 8.0 4.0 7.0 1.0 226.0 
2018-5-14 24.0 12.0 96.0 16.0 27.0 4.0 13.0 8.0 4.0 0.0 267.0 
2018-5-15 35.0 25.0 94.0 19.0 27.0 12.0 16.0 5.0 4.0 0.0 282.0 
2018-5-16 30.0 20.0 69.0 24.0 22.0 13.0 13.0 4.0 1.0 1.0 268.0 
2018-5-17 19.0 14.0 45.0 19.0 19.0 11.0 9.0 2.0 7.0 0.0 217.0 
2018-5-18 31.0 25.0 53.0 33.0 19.0 15.0 14.0 3.0 6.0 1.0 277.0 
2018-5-19 39.0 19.0 50.0 26.0 30.0 17.0 19.0 3.0 14.0 1.0 319.0 
2018-5-20 24.0 19.0 43.0 29.0 22.0 13.0 14.0 1.0 5.0 0.0 228.0 
2018-5-21 27.0 26.0 57.0 26.0 22.0 10.0 9.0 8.0 4.0 0.0 292.0 
2018-5-22 15.0 18.0 58.0 29.0 19.0 15.0 14.0 3.0 8.0 2.0 271.0 
2018-5-23 16.0 9.0 30.0 13.0 13.0 4.0 11.0 0.0 4.0 0.0 181.0 
2018-5-24 14.0 12.0 31.0 23.0 15.0 10.0 14.0 4.0 9.0 0.0 203.0 
2018-5-25 18.0 20.0 38.0 35.0 17.0 8.0 18.0 1.0 2.0 0.0 199.0 
2018-5-26 13.0 36.0 23.0 26.0 13.0 9.0 12.0 2.0 7.0 0.0 230.0 
2018-5-27 14.0 13.0 20.0 13.0 17.0 5.0 9.0 1.0 4.0 0.0 176.0 
2018-5-28 12.0 22.0 34.0 43.0 13.0 7.0 17.0 1.0 11.0 0.0 206.0 
2018-5-29 21.0 17.0 23.0 30.0 19.0 5.0 21.0 6.0 5.0 0.0 171.0 
2018-5-30 14.0 14.0 20.0 31.0 11.0 11.0 14.0 0.0 9.0 0.0 231.0 
2018-5-31 16.0 16.0 18.0 37.0 17.0 17.0 21.0 3.0 6.0 0.0 283.0 
2018-6-1 20.0 15.0 21.0 32.0 17.0 10.0 25.0 4.0 4.0 0.0 262.0 
2018-6-2 17.0 23.0 22.0 38.0 13.0 10.0 18.0 2.0 5.0 1.0 277.0 
2018-6-3 19.0 23.0 29.0 47.0 14.0 8.0 28.0 1.0 7.0 0.0 274.0 
2018-6-4 13.0 31.0 34.0 57.0 15.0 14.0 36.0 3.0 4.0 1.0 298.0 
2018-6-5 18.0 32.0 26.0 58.0 15.0 20.0 53.0 6.0 4.0 0.0 346.0 
2018-6-6 17.0 38.0 13.0 46.0 16.0 21.0 45.0 7.0 10.0 0.0 284.0 
2018-6-7 12.0 22.0 7.0 64.0 11.0 31.0 39.0 2.0 9.0 0.0 295.0 
2018-6-8 19.0 46.0 11.0 59.0 18.0 18.0 35.0 3.0 15.0 1.0 331.0 
2018-6-9 10.0 32.0 14.0 51.0 8.0 16.0 22.0 2.0 5.0 0.0 287.0 
2018-6-10 6.0 30.0 7.0 30.0 5.0 17.0 21.0 0.0 4.0 0.0 177.0 
2018-6-11 7.0 21.0 7.0 30.0 14.0 21.0 23.0 2.0 4.0 0.0 188.0 
2018-6-12 16.0 26.0 13.0 55.0 14.0 25.0 28.0 2.0 9.0 4.0 273.0 
