Browser 2_Crosswalk 3_Chrome 4_SeaMonkey 5_Maxthon 6_AppEngine-Google 7_Firefox_Mobile 8_Other 9_Apple_Mail 10_QQ_Browser 11_Android 12_QQ_Browser_Mobile 13_BlackBerry_WebKit 14_Mobile_Safari_UI/WKWebView 15_Mobile_Safari 16_Mail.ru_Chromium_Browser 17_Samsung_Internet 18_Opera 19_Facebook 20_Safari 21_IE_Mobile 22_Pale_Moon 23_Netscape 24_Chrome_Mobile_iOS 25_Konqueror 26_UC_Browser 27_Amazon_Silk 28_HeadlessChrome 29_Thunderbird 30_Chrome_Mobile 31_Dragon 32_Edge_Mobile 33_Opera_Mobile 34_Puffin 35_Edge 36_Iron 37_IE 38_MobileIron 39_Vivaldi 40_Firefox 41_Yandex_Browser 42_Coc_Coc 43_Chromium 44_Seznam_prohle 45_Opera_Neon 46_Firefox_iOS 47_ThunderBrowse 48_Chrome_Mobile_WebView 49_Sogou_Explorer 50_QupZilla 
2018-1-22 0 22.0734506503 20.0 0 0 22.4719101124 0 0 0 14.2857142857 0 100.0 20.0 36.3595905652 0 24.9263984298 35.2941176471 0 20.6018518519 33.3333333333 0 0 61.5384615385 0 0 28.5714285714 0 0 31.7302052786 0 60.0 25.0 100.0 33.4033613445 66.6666666667 37.3549883991 0 0 14.8092744951 37.5 14.2857142857 11.1111111111 0 0 100.0 0 31.3725490196 0 0 
2018-1-23 0 22.8330522766 100.0 33.3333333333 0 34.0909090909 0 0 50.0 26.3157894737 0 100.0 50.0 40.3383214053 0 24.1962774958 37.4193548387 0 24.7826086957 25.0 0 0 66.6666666667 0 50.0 66.6666666667 0 0 35.2479135984 0 41.1764705882 42.4242424242 0 28.9473684211 25.0 37.4439461883 0 55.5555555556 17.0365312393 55.5555555556 0 14.2857142857 0 0 0 0 27.868852459 0 0 
2018-1-24 0 18.9851268591 66.6666666667 0 0 25.7575757576 0 0 0 15.0 0 100.0 75.0 36.6047745358 0 22.9508196721 43.4210526316 0 24.1830065359 25.0 0 0 60.0 0 0 50.0 0 0 24.1090146751 0 40.0 6.66666666667 0 23.3676975945 66.6666666667 39.9224806202 0 57.1428571429 15.8694428813 33.3333333333 25.0 0 0 0 0 0 21.875 0 0 
2018-1-25 0 22.8694292416 33.3333333333 66.6666666667 0 29.5302013423 0 0 0 16.0 0 100.0 33.3333333333 35.4189336235 0 21.610738255 54.347826087 0 29.8469387755 14.2857142857 0 0 100.0 0 0 43.75 0 0 30.2560124127 0 14.2857142857 25.0 0 28.1690140845 14.2857142857 29.5918367347 0 50.0 30.454777721 50.0 33.3333333333 66.6666666667 0 0 100.0 0 23.0769230769 0 0 
2018-1-26 0 23.688721289 50.0 50.0 0 28.0487804878 0 0 0 44.2307692308 0 0 0 36.9248035915 0 22.920696325 56.3291139241 0 28.623853211 21.4285714286 100.0 0 33.3333333333 0 66.6666666667 36.3636363636 0 0 29.3753517164 0 16.6666666667 23.0769230769 0 26.5625 20.0 32.9914529915 0 50.0 30.8226691042 25.0 20.0 33.3333333333 0 0 0 0 20.0 100.0 0 
2018-1-27 0 25.1202565473 0 0 0 30.1587301587 100.0 0 0 18.5185185185 0 100.0 80.0 39.2323232323 0 24.7765006386 52.2388059701 0 32.5581395349 14.2857142857 0 0 100.0 0 100.0 27.2727272727 0 100.0 39.1338582677 0 45.4545454545 31.25 0 28.0487804878 0 33.3333333333 0 100.0 33.0255296035 16.6666666667 0 0 0 0 0 0 39.3939393939 0 0 
2018-1-28 0 19.6859226024 0 33.3333333333 0 28.0303030303 0 0 0 17.3913043478 0 100.0 0 29.0444654683 0 14.4557823129 38.5826771654 25.0 21.1195928753 20.0 0 0 100.0 0 25.0 10.0 0 0 36.5137614679 0 35.7142857143 40.0 0 26.4270613108 0 33.904109589 0 25.0 26.6199649737 20.0 25.0 0 0 0 0 0 36.3636363636 0 100.0 
2018-1-29 0 24.6216315984 50.0 50.0 0 33.3333333333 0 0 0 44.4444444444 0 100.0 80.0 43.2258064516 0 32.9297820823 47.7477477477 33.3333333333 32.8638497653 27.2727272727 0 0 20.0 0 0 57.1428571429 0 0 47.6327116212 0 0 25.0 100.0 30.8093994778 50.0 41.9786096257 0 60.0 32.6099371788 20.0 0 20.0 0 0 0 0 53.3333333333 0 0 
2018-1-30 0 30.3237858032 0 100.0 0 72.4358974359 0 0 0 66.6666666667 0 0 75.0 53.4587554269 0 58.7104072398 55.3191489362 100.0 56.7190226876 54.5454545455 0 0 57.1428571429 0 50.0 65.0 0 0 59.5399188092 100.0 69.2307692308 45.4545454545 60.0 59.4548551959 50.0 73.3752620545 0 66.6666666667 63.2591958939 40.0 0 100.0 0 0 0 0 59.5238095238 0 0 
2018-1-31 0 26.4182611615 66.6666666667 25.0 0 58.9595375723 50.0 0 0 56.4102564103 0 100.0 50.0 47.3137429504 0 47.8802992519 57.6388888889 0 49.9079189687 64.7058823529 0 0 80.0 0 0 46.1538461538 0 0 52.7797833935 0 55.5555555556 58.3333333333 20.0 49.7470489039 0 63.126252505 0 0 54.5172719221 33.3333333333 66.6666666667 42.8571428571 0 0 100.0 0 39.5348837209 0 0 
2018-2-1 0 25.4431314623 50.0 80.0 0 48.4848484848 100.0 0 0 48.275862069 0 100.0 25.0 38.7727116901 0 35.7723577236 48.7603305785 100.0 37.0221327968 75.0 0 0 71.4285714286 0 33.3333333333 26.3157894737 0 0 44.1747572816 0 50.0 38.4615384615 0 38.8329979879 0 49.2795389049 0 50.0 46.3603510583 33.3333333333 0 20.0 0 0 50.0 0 51.6129032258 0 0 
2018-2-2 0 26.7942583732 50.0 100.0 0 43.8271604938 0 0 0 27.7777777778 0 0 66.6666666667 38.5546875 0 33.3333333333 43.5643564356 100.0 36.8686868687 42.8571428571 0 0 33.3333333333 0 0 30.7692307692 0 0 50.7515473033 0 25.0 40.0 0 35.5371900826 100.0 42.3220973783 100.0 33.3333333333 41.288625904 0 0 33.3333333333 100.0 0 0 0 54.5454545455 0 0 
2018-2-3 0 25.1070663812 33.3333333333 0 0 37.7358490566 100.0 0 0 41.3793103448 0 100.0 75.0 40.1954976303 0 34.068627451 31.5789473684 100.0 36.6430260047 25.0 0 0 33.3333333333 0 50.0 21.0526315789 0 0 53.8694992413 0 46.1538461538 31.5789473684 0 38.0582524272 66.6666666667 51.8644067797 0 71.4285714286 46.0415496912 0 50.0 50.0 0 0 0 0 38.4615384615 0 0 
